Epoch; Epoch Loss; Validation Loss; Learning Rate; 
Epoch: 001, Loss: 0.0846164352, Val Loss: 0.0896533984, LR: 0.0002500000, best model
Epoch: 002, Loss: 0.0696221256, Val Loss: 0.0765720952, LR: 0.0002500000, best model
Epoch: 003, Loss: 0.0548634539, Val Loss: 0.0865255729, LR: 0.0002500000
Epoch: 004, Loss: 0.0462026083, Val Loss: 0.0839949024, LR: 0.0002500000
Epoch: 005, Loss: 0.0426547804, Val Loss: 0.0992850261, LR: 0.0002500000
Epoch: 006, Loss: 0.0384312038, Val Loss: 0.0855695296, LR: 0.0002500000
Epoch: 007, Loss: 0.0367403623, Val Loss: 0.0949318168, LR: 0.0002500000
Epoch: 008, Loss: 0.0346106835, Val Loss: 0.0966863293, LR: 0.0002500000
Epoch: 009, Loss: 0.0347289405, Val Loss: 0.0976414200, LR: 0.0002500000
Epoch: 010, Loss: 0.0330495858, Val Loss: 0.0953794581, LR: 0.0002500000
Epoch: 011, Loss: 0.0320252989, Val Loss: 0.1006638654, LR: 0.0002500000
Epoch: 012, Loss: 0.0301446603, Val Loss: 0.1050547300, LR: 0.0002500000
Epoch: 013, Loss: 0.0315734177, Val Loss: 0.0880660451, LR: 0.0002500000
Epoch: 014, Loss: 0.0309969723, Val Loss: 0.0786298491, LR: 0.0002500000
Epoch: 015, Loss: 0.0296649325, Val Loss: 0.0888959985, LR: 0.0002500000
Epoch: 016, Loss: 0.0291804480, Val Loss: 0.0861262169, LR: 0.0002500000
Epoch: 017, Loss: 0.0280174562, Val Loss: 0.0863075444, LR: 0.0002500000
Epoch: 018, Loss: 0.0272501558, Val Loss: 0.0838657451, LR: 0.0002500000
Epoch: 019, Loss: 0.0278256212, Val Loss: 0.0911561444, LR: 0.0002500000
Epoch: 020, Loss: 0.0263772782, Val Loss: 0.0927122107, LR: 0.0002500000
